technology,year,value
Battery,2016,0.00000
Battery,2017,0.00000
Battery,2018,0.00000
Battery,2019,0.00000
Battery,2020,0.00000
Battery,2021,0.00000
Battery,2022,-51126.88094
Battery,2023,-44477.39012
Battery,2024,-45856.26857
Battery,2025,-75275.58683
Battery,2026,-79781.98275
Battery,2027,-81375.63931
Battery,2028,-81850.71077
Battery,2029,-81654.71740
Battery,2030,-97757.56182
Battery,2031,-98689.96579
Battery,2032,-99780.21507
Battery,2033,-100288.78383
Battery,2034,-101112.30815
Battery,2035,-111121.58042
Battery,2036,-114740.67976
Battery,2037,-116791.60867
Battery,2038,-120615.57226
Battery,2039,-121719.12314
Battery,2040,-165001.81545
Battery,2041,-173729.48500
Battery,2042,-169084.54305
Battery,2043,-173377.16302
Battery,2044,-175117.78220
Battery,2045,-372380.43965
Bio,2016,413825.20444
Bio,2017,426643.84952
Bio,2018,436982.72201
Bio,2019,454857.03440
Bio,2020,436843.69323
Bio,2021,452738.39854
Bio,2022,463968.79717
Bio,2023,460930.76909
Bio,2024,462952.68737
Bio,2025,478635.85662
Bio,2026,466964.01120
Bio,2027,467239.36381
Bio,2028,458240.14831
Bio,2029,455788.92963
Bio,2030,456938.86996
Bio,2031,456367.84079
Bio,2032,456733.04802
Bio,2033,455170.15809
Bio,2034,454268.60591
Bio,2035,455126.63895
Bio,2036,456967.28898
Bio,2037,454727.28466
Bio,2038,454517.25183
Bio,2039,453547.50520
Bio,2040,444469.11246
Bio,2041,440309.48303
Bio,2042,438805.83466
Bio,2043,438413.09743
Bio,2044,437884.02515
Bio,2045,743470.80168
DGPV,2016,655684.01943
DGPV,2017,735426.54630
DGPV,2018,775179.74354
DGPV,2019,820242.13267
DGPV,2020,862799.49063
DGPV,2021,927587.00955
DGPV,2022,960967.68991
DGPV,2023,1019235.57434
DGPV,2024,1081130.79768
DGPV,2025,1137522.33081
DGPV,2026,1197512.18004
DGPV,2027,1258043.97175
DGPV,2028,1322827.08174
DGPV,2029,1380700.13305
DGPV,2030,1442792.45710
DGPV,2031,1505387.82714
DGPV,2032,1572895.31308
DGPV,2033,1632061.90672
DGPV,2034,1696131.04397
DGPV,2035,1760674.10372
DGPV,2036,1830834.56290
DGPV,2037,1891182.29669
DGPV,2038,1957160.32885
DGPV,2039,2023622.05787
DGPV,2040,2096447.37311
DGPV,2041,2157967.58788
DGPV,2042,2225851.49090
DGPV,2043,2294231.88845
DGPV,2044,2369753.34662
DGPV,2045,2432453.45352
Fossil,2016,6262756.06753
Fossil,2017,6176569.84088
Fossil,2018,5863494.27317
Fossil,2019,5832310.39660
Fossil,2020,5403912.95325
Fossil,2021,5288510.84306
Fossil,2022,5094553.95679
Fossil,2023,4966612.86839
Fossil,2024,4860191.77463
Fossil,2025,3341939.76395
Fossil,2026,3221682.34010
Fossil,2027,3109739.03704
Fossil,2028,3001512.42020
Fossil,2029,2853012.11866
Fossil,2030,2742183.62040
Fossil,2031,2669682.65466
Fossil,2032,2666046.94435
Fossil,2033,2634953.11580
Fossil,2034,2622242.71022
Fossil,2035,2611996.51878
Fossil,2036,2616635.37590
Fossil,2037,2597462.76833
Fossil,2038,2598468.87723
Fossil,2039,2592344.92669
Fossil,2040,2085021.90635
Fossil,2041,2086505.06517
Fossil,2042,2081344.59808
Fossil,2043,2072976.66489
Fossil,2044,2079966.93230
Fossil,2045,0.00000
PV,2016,124985.84469
PV,2017,230863.80406
PV,2018,523463.40288
PV,2019,569986.78850
PV,2020,946537.64697
PV,2021,934982.08655
PV,2022,1043014.78843
PV,2023,1042587.55406
PV,2024,1042374.40482
PV,2025,1471642.74030
PV,2026,1471507.49289
PV,2027,1470805.14655
PV,2028,1470077.63612
PV,2029,1469593.43288
PV,2030,1469785.48850
PV,2031,1469703.43030
PV,2032,1468707.34212
PV,2033,1468372.68843
PV,2034,1467211.56406
PV,2035,1468335.06288
PV,2036,1468094.09027
PV,2037,1467165.07289
PV,2038,1466128.80655
PV,2039,1464502.35843
PV,2040,2044428.39036
PV,2041,2032936.08850
PV,2042,2028137.33030
PV,2043,2027141.87289
PV,2044,2023511.02964
PV,2045,4078063.63406
Wind,2016,204529.92000
Wind,2017,208643.10000
Wind,2018,228530.77000
Wind,2019,228597.16000
Wind,2020,228793.35000
Wind,2021,228670.37000
Wind,2022,228540.55000
Wind,2023,228596.10000
Wind,2024,228647.75000
Wind,2025,1229482.11000
Wind,2026,1229613.95000
Wind,2027,1229143.68000
Wind,2028,1228526.73000
Wind,2029,1226789.15000
Wind,2030,1229087.62000
Wind,2031,1228790.65000
Wind,2032,1228551.38000
Wind,2033,1227475.92000
Wind,2034,1226663.70000
Wind,2035,1228559.65000
Wind,2036,1228786.08000
Wind,2037,1227850.73000
Wind,2038,1226947.50000
Wind,2039,1225689.02000
Wind,2040,1206862.65000
Wind,2041,1201976.23000
Wind,2042,1199256.51000
Wind,2043,1200608.45000
Wind,2044,1193797.70000
Wind,2045,1078974.74000
