technology,year,e3genmod,postapril
Fossil,2016,238.913085,238.913085
Fossil,2017,238.913085,238.913085
Fossil,2018,238.913085,238.913085
Fossil,2019,238.913085,238.913085
Fossil,2020,238.913085,238.913085
Fossil,2021,238.913085,238.913085
Fossil,2022,257.233085,257.233085
Fossil,2023,224.763085,224.763085
Fossil,2024,224.763085,224.763085
Fossil,2025,224.763085,224.763085
Fossil,2026,224.763085,224.763085
Fossil,2027,224.763085,224.763085
Fossil,2028,224.763085,224.763085
Fossil,2029,224.763085,224.763085
Fossil,2030,224.763085,224.763085
Fossil,2031,224.763085,224.763085
Fossil,2032,224.763085,224.763085
Fossil,2033,224.763085,224.763085
Fossil,2034,224.763085,224.763085
Fossil,2035,224.763085,224.763085
Fossil,2036,224.763085,224.763085
Fossil,2037,224.763085,224.763085
Fossil,2038,224.763085,224.763085
Fossil,2039,224.763085,224.763085
Fossil,2040,224.763085,224.763085
Fossil,2041,224.763085,224.763085
Fossil,2042,224.763085,224.763085
Fossil,2043,224.763085,224.763085
Fossil,2044,224.763085,224.763085
Fossil,2045,0,0
Bio,2016,0,0
Bio,2017,0,0
Bio,2018,0,0
Bio,2019,0,0
Bio,2020,0,0
Bio,2021,0,0
Bio,2022,40,20
Bio,2023,40,20
Bio,2024,40,20
Bio,2025,40,20
Bio,2026,40,20
Bio,2027,40,20
Bio,2028,40,20
Bio,2029,40,20
Bio,2030,40,20
Bio,2031,40,20
Bio,2032,40,20
Bio,2033,40,20
Bio,2034,40,20
Bio,2035,40,20
Bio,2036,40,20
Bio,2037,40,20
Bio,2038,40,20
Bio,2039,40,20
Bio,2040,40,60
Bio,2041,40,60
Bio,2042,40,60
Bio,2043,40,60
Bio,2044,40,60
Bio,2045,182.4031,284.763085
DER,2016,103.4486303,103.4486303
DER,2017,121.7363049,121.7363049
DER,2018,125.6183049,125.6183049
DER,2019,132.5956273,132.5956273
DER,2020,139.2946273,139.2946273
DER,2021,143.5766273,143.5766273
DER,2022,149.9202473,149.9202473
DER,2023,159.3192236,159.3192236
DER,2024,172.1360494,172.1360494
DER,2025,184.958811,184.958811
DER,2026,197.7885085,197.7885085
DER,2027,210.6112767,210.6112767
DER,2028,223.4340384,223.4340384
DER,2029,236.2638,236.2638
DER,2030,249.0866257,249.0866257
DER,2031,261.9093232,261.9093232
DER,2032,274.7320849,274.7320849
DER,2033,287.5618465,287.5618465
DER,2034,300.3846081,300.3846081
DER,2035,313.2073697,313.2073697
DER,2036,326.0371955,326.0371955
DER,2037,338.853893,338.853893
DER,2038,351.6766546,351.6766546
DER,2039,364.4994162,364.4994162
