technology,year,e3genmod,postapril
Fossil,2016,694693.3767,694837.832
Fossil,2017,682501.6609,682422.646
Fossil,2018,684671.4305,684841.314
Fossil,2019,687733.2507,687746.1997
Fossil,2020,560199.7823,466756.4716
Fossil,2021,560252.6662,467851.1021
Fossil,2022,377019.1052,330846.5307
Fossil,2023,354454.2383,292564.8843
Fossil,2024,356327.2848,299918.1508
Fossil,2025,336566.8874,297092.7206
Fossil,2026,341232.6883,298833.8668
Fossil,2027,331858.163,293096.2566
Fossil,2028,319400.9027,286774.2338
Fossil,2029,301076.2279,274242.1668
Fossil,2030,258892.4537,143192.518
Fossil,2031,242304.9467,135815.2529
Fossil,2032,242484.3007,141337.2465
Fossil,2033,250057.7893,141730.2627
Fossil,2034,257403.354,152983.3454
Fossil,2035,252022.5185,159951.6138
Fossil,2036,259775.7381,160867.0368
Fossil,2037,269806.4057,152393.3839
Fossil,2038,282099.5815,158132.6548
Fossil,2039,276230.2158,165412.6314
Fossil,2040,115454.6913,0
Fossil,2041,125859.1373,0
Fossil,2042,132545.7723,0
Fossil,2043,131118.519,0
Fossil,2044,136295.5152,0
Fossil,2045,0,0
Bio,2016,0,0
Bio,2017,0,0
Bio,2018,0,0
Bio,2019,0,0
Bio,2020,0,0
Bio,2021,0,0
Bio,2022,231537.8263,101883.5215
Bio,2023,226532.3801,107116.2224
Bio,2024,231070.3731,106447.242
Bio,2025,235224.6516,104369.0741
Bio,2026,233647.8991,105019.1825
Bio,2027,225131.5134,101833.8139
Bio,2028,228962.6646,102726.2298
Bio,2029,222584.2949,100526.5649
Bio,2030,225248.4757,87900.60447
Bio,2031,225127.576,87141.55792
Bio,2032,222125.3835,86472.93324
Bio,2033,220028.0041,87872.99246
Bio,2034,224516.6881,87825.89348
Bio,2035,228935.3041,88291.91752
Bio,2036,226327.9003,88030.20544
Bio,2037,225910.7282,86973.25984
Bio,2038,223340.1263,88607.375
Bio,2039,233805.2923,88525.16536
Bio,2040,198760.7064,344483.245
Bio,2041,195137.4845,344614.8134
Bio,2042,194688.4671,350936.5813
Bio,2043,194851.8695,356093.4164
Bio,2044,196476.3133,364576.6403
Bio,2045,266890.2986,369223.4997
DER,2016,159119.8966,159102.9978
DER,2017,188720.0455,188739.5314
DER,2018,194871.8262,194881.9375
DER,2019,205896.6001,205896.1545
DER,2020,216937.2527,216973.9251
DER,2021,222859.7251,222897.1029
DER,2022,233085.509,233396.1442
DER,2023,247700.0409,248051.7868
DER,2024,267992.6833,268736.145
DER,2025,287321.7755,287953.9666
DER,2026,306998.3386,307882.421
DER,2027,326466.9294,327657.5531
DER,2028,347009.8211,348474.1725
DER,2029,364846.4278,366867.2036
DER,2030,386801.9902,385734.9773
DER,2031,406005.6836,405108.7321
DER,2032,426940.6634,425762.2839
DER,2033,445365.1109,444264.5278
DER,2034,464948.467,463331.4107
DER,2035,485713.9056,482271.8713
DER,2036,507024.9434,502859.2947
DER,2037,525362.7835,524112.9204
DER,2038,544990.0294,543828.5482
DER,2039,564421.424,562490.7927
DER,2040,588248.2876,578032.3025
DER,2041,606282.5043,595871.9591
DER,2042,626211.4138,613471.4913
DER,2043,645894.5386,631953.8367
DER,2044,667399.9979,650548.038
DER,2045,687521.8057,666076.4972
PV,2016,0,0
PV,2017,13389.06667,13451.74272
PV,2018,15568.01981,15589.28509
PV,2019,15709.60239,15714.1533
PV,2020,15904.51065,92101.29558
PV,2021,15602.60474,90188.82333
PV,2022,16176.28912,118744.8788
PV,2023,16114.41472,118185.0867
PV,2024,15473.15662,116216.2275
PV,2025,15367.30642,111017.1716
PV,2026,14862.58738,109481.5667
PV,2027,13966.73871,101629.0073
PV,2028,13323.16283,95736.85521
PV,2029,11843.55774,84672.96059
PV,2030,14501.60244,72654.05551
PV,2031,13430.44322,65739.99515
PV,2032,12926.43973,61311.31502
PV,2033,12652.30039,57737.4751
PV,2034,11859.95603,55929.41203
PV,2035,13039.16949,54660.02614
PV,2036,12968.96351,54995.29794
PV,2037,12597.88527,68810.79225
PV,2038,12352.85673,66097.48155
PV,2039,11751.12828,62674.51936
PV,2040,14606.20246,51525.04621
PV,2041,14251.02933,54398.64184
PV,2042,13977.36123,52727.31779
PV,2043,13629.34361,52354.86848
PV,2044,12983.13248,48774.64095
PV,2045,129999.6726,46463.24214
Wind,2016,289533.7788,289380.8305
Wind,2017,290999.9753,291031.5947
Wind,2018,299551.5189,299609.0854
Wind,2019,299905.287,299849.5207
Wind,2020,451087.5811,487635.4785
Wind,2021,450204.6916,486823.2827
Wind,2022,472412.8054,561116.144
Wind,2023,473022.5898,575117.3965
Wind,2024,468499.468,568857.126
Wind,2025,471893.6545,564395.589
Wind,2026,467356.4816,560267.2139
Wind,2027,461234.4175,551908.397
Wind,2028,457243.7072,548208.4438
Wind,2029,442804.5606,531669.4706
Wind,2030,464973.1989,497927.2706
Wind,2031,457972.7555,488992.382
Wind,2032,453655.553,482053.2599
Wind,2033,450037.8991,484463.0712
Wind,2034,450902.2963,486552.5225
Wind,2035,459484.122,484315.7005
Wind,2036,461488.1527,483784.9975
Wind,2037,454720.7553,497736.4986
Wind,2038,456020.9518,498798.4951
Wind,2039,450840.7072,498393.4322
Wind,2040,459461.6651,464228.3018
Wind,2041,453879.1349,465016.0438
Wind,2042,454582.1191,462308.5121
Wind,2043,454988.8149,461617.1187
Wind,2044,455691.0251,464824.1335
